index,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence
117,Alluda Majaka,Oddments,King Gizzard & The Lizard Wizard,3/7/2014,214426,22,0.458,0.000652,0.458,0.966,0.9,9,0.34,-5.689,0.0746,117.692,4,0.883
118,Stressin',Oddments,King Gizzard & The Lizard Wizard,3/7/2014,176666,22,0.532,0.449,0.532,0.332,8.54E-05,3,0.0943,-11.292,0.339,117.834,1,0.69
119,Vegemite,Oddments,King Gizzard & The Lizard Wizard,3/7/2014,165293,21,0.513,0.0019,0.513,0.802,0.0028,6,0.404,-4.12,0.0635,122.134,4,0.444
120,It's Got Old,Oddments,King Gizzard & The Lizard Wizard,3/7/2014,178680,22,0.472,0.207,0.472,0.657,0,2,0.609,-7.676,0.0425,78.406,4,0.742
121,Work This Time,Oddments,King Gizzard & The Lizard Wizard,3/7/2014,276893,23,0.529,0.154,0.529,0.491,0.1,1,0.136,-6.249,0.193,113.996,1,0.54
122,ABABCd.,Oddments,King Gizzard & The Lizard Wizard,3/7/2014,17200,0,0.222,0.134,0.222,0.992,0.853,2,0.0899,-2.779,0.112,196.096,4,0.577
123,Sleepwalker,Oddments,King Gizzard & The Lizard Wizard,3/7/2014,226360,21,0.512,0.502,0.512,0.921,0.00196,9,0.149,-3.926,0.0559,123.694,4,0.801
124,Hot Wax,Oddments,King Gizzard & The Lizard Wizard,3/7/2014,209013,21,0.517,0.0992,0.517,0.888,0.00292,8,0.277,-6.922,0.0622,132.988,4,0.765
125,Crying,Oddments,King Gizzard & The Lizard Wizard,3/7/2014,176840,20,0.0824,0.413,0.0824,0.842,0.948,7,0.668,-3.302,0.0581,200.945,4,0.629
126,Pipe-Dream,Oddments,King Gizzard & The Lizard Wizard,3/7/2014,61546,18,0.409,0.136,0.409,0.984,0.989,2,0.678,-2.498,0.0918,98.436,4,0.276
127,Homeless Man In Addidas,Oddments,King Gizzard & The Lizard Wizard,3/7/2014,204613,19,0.458,0.81,0.458,0.662,0.893,0,0.837,-14.163,0.08,90.094,4,0.61
128,Oddments,Oddments,King Gizzard & The Lizard Wizard,3/7/2014,25040,0,0.428,0.13,0.428,0.977,5.79E-05,6,0.652,-4.996,0.0721,114.513,3,0.232
129,Head On/Pill,Float Along - Fill Your Lungs,King Gizzard & The Lizard Wizard,9/27/2013,961240,42,0.0684,2.35E-05,0.0684,0.912,0.005,0,0.077,-5.024,0.066,185.388,4,0.247
130,I’m Not a Man Unless I Have A Woman,Float Along - Fill Your Lungs,King Gizzard & The Lizard Wizard,9/27/2013,175546,34,0.206,0.00033,0.206,0.538,0.15,0,0.0719,-10.37,0.0356,184.888,4,0.682
131,God Is Calling Me Back Home,Float Along - Fill Your Lungs,King Gizzard & The Lizard Wizard,9/27/2013,264893,37,0.347,0.0366,0.347,0.836,0.00032,9,0.38,-5.663,0.0721,124.186,4,0.266
132,30 Past 7,Float Along - Fill Your Lungs,King Gizzard & The Lizard Wizard,9/27/2013,223826,33,0.263,0.000719,0.263,0.65,0.111,5,0.0669,-5.586,0.0415,76.481,4,0.193
133,Let Me Mend The Past,Float Along - Fill Your Lungs,King Gizzard & The Lizard Wizard,9/27/2013,150346,41,0.578,0.036,0.578,0.791,7.79E-06,2,0.267,-6.087,0.0283,101.558,4,0.787
134,Mystery Jack,Float Along - Fill Your Lungs,King Gizzard & The Lizard Wizard,9/27/2013,167960,34,0.454,1.69E-05,0.454,0.921,0.141,0,0.415,-6.366,0.0535,116.042,4,0.465
135,Pop In My Step,Float Along - Fill Your Lungs,King Gizzard & The Lizard Wizard,9/27/2013,171720,36,0.437,0.477,0.437,0.826,0.009,9,0.396,-8.433,0.063,207.426,4,0.878
136,Float Along – Fill Your Lungs,Float Along - Fill Your Lungs,King Gizzard & The Lizard Wizard,9/27/2013,405666,37,0.19,0.00381,0.19,0.49,0.21,7,0.0926,-4.978,0.0425,114.351,4,0.0368
137,Eyes Like The Sky,Eyes Like The Sky,King Gizzard & The Lizard Wizard,2/15/2013,197026,37,0.293,0.739,0.293,0.778,0.0345,1,0.419,-7.501,0.0536,81.867,3,0.375
138,Year Of Our Lord,Eyes Like The Sky,King Gizzard & The Lizard Wizard,2/15/2013,176760,33,0.314,0.472,0.314,0.79,0.00338,0,0.336,-5.419,0.0412,104.512,4,0.419
139,The Raid,Eyes Like The Sky,King Gizzard & The Lizard Wizard,2/15/2013,143746,32,0.297,0.447,0.297,0.957,0.913,0,0.351,-3.024,0.0667,129.276,3,0.244
140,Drum Run,Eyes Like The Sky,King Gizzard & The Lizard Wizard,2/15/2013,161546,31,0.461,0.555,0.461,0.999,0.0571,1,0.651,-4.972,0.0631,98.294,4,0.0377
